system:index,crop_label,soil_oc,soil_ph,soil_texture,.geo
63,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.8172373674019,37.367839908046584]}"
64,0,2,79,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.65015072455566,36.628616260744636]}"
65,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.94111047080013,36.66580651350718]}"
66,0,2,82,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.78722906263044,36.64209099000642]}"
67,0,3,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.45368917191873,37.02423431187087]}"
68,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.63442563280172,36.68952203700793]}"
69,0,2,73,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.21842039900783,37.02234784977422]}"
70,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.15562816064786,36.788965538959964]}"
71,0,2,78,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.19766931594467,36.351306332536936]}"
72,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.68697707692272,36.510308137826094]}"
73,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.79827834062513,36.34537745166175]}"
74,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.3453523486539,36.90969911314563]}"
75,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.41973285417902,37.0236953227004]}"
76,0,2,77,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01899440593328,36.17370940086651]}"
77,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.94856191337647,35.07848340646799]}"
78,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.27087743731855,35.82147997796324]}"
79,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.97587527229555,36.89864983515096]}"
80,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.11376209412606,35.794530519439654]}"
81,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.32028935222698,36.85849514195082]}"
82,0,3,78,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.73046011095596,36.869813914530724]}"
83,0,4,73,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.3749023472196,36.70030182041737]}"
84,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.35549873708261,36.27719532159708]}"
85,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.63361714904602,36.65260127883062]}"
86,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.886133575412,36.72617330060001]}"
87,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12463628334575,36.61298557480095]}"
88,0,2,81,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.57917924282837,36.66014712721723]}"
89,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.6008332154575,35.700476909192346]}"
90,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.13316570426304,35.97347492403627]}"
91,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.89223754506217,35.09977347870162]}"
92,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.26872148063666,35.70074640377758]}"
93,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12032436998197,36.92128738031077]}"
94,0,2,81,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.12723682338785,35.850585393168714]}"
95,0,2,77,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.17412888121888,35.86271264950433]}"
96,0,3,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.96958249102487,35.052611926285344]}"
97,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12382779959003,37.04255994366691]}"
98,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.98647996693,36.065911566772165]}"
99,0,2,82,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.78669007345998,36.632119690352695]}"
100,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.27070234854358,36.77576030428341]}"
101,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.36772039922849,35.61423864191687]}"
102,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.82971480128745,35.26659062696262]}"
103,0,3,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.53480704207472,37.38751301276881]}"
104,0,2,76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.00902310627956,36.146759942342925]}"
105,0,3,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.20592924227671,35.652506873020364]}"
106,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.14188393680084,36.860112109462236]}"
107,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19649693179346,35.60642329894503]}"
108,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.91577797978796,36.524860845428826]}"
109,0,4,82,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.75479530659189,35.22104604205776]}"
110,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.15158574186933,36.60840416685194]}"
111,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.02007238427424,36.72374784933289]}"
112,0,2,76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.6180808689126,36.723208860162416]}"
113,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.92134296026765,35.0267404461027]}"
114,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.69236696862743,36.669309943115245]}"
115,0,2,75,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.63937094114624,36.8568781744394]}"
116,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.38891606565186,35.693739544561446]}"
117,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.11295361037034,36.049472397072776]}"
118,0,3,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.3415794244606,36.91643647777653]}"
119,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12463628334575,36.86873593618978]}"
120,0,3,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.78039729218929,35.195713551045586]}"
121,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.04028447816692,36.915358499435584]}"
122,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.43886696973075,37.03285813859842]}"
123,0,2,78,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.17503177078486,36.3758303397934]}"
124,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.99591227741327,36.06052167506745]}"
125,0,5,72,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.14017256347915,35.66975452647546]}"
126,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.74097039978015,36.88598358964487]}"
127,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.93248664407258,36.655026730097745]}"
128,0,2,78,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.51836787237534,36.66796247018907]}"
129,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.84301444177427,36.46745849877359]}"
130,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.04890830489447,36.81887943792115]}"
131,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.71635198671342,36.574447849112225]}"
132,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.72605379178191,36.636431603716474]}"
133,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.96886841307942,36.5997803401244]}"
134,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19137653467398,35.74359604283008]}"
135,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.30698971174016,35.755453804580455]}"
136,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.93508718411468,35.25419387604177]}"
137,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.00444169833055,36.51300308367845]}"
138,0,2,76,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.6428743707543,36.859842614876996]}"
139,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.93248664407258,36.47446535798972]}"
140,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.28004025321657,35.83199026678744]}"
141,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.94164945997059,36.48039423886491]}"
142,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.90526769096377,36.59169550256732]}"
143,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05914909913344,36.77764676638006]}"
144,0,4,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.10837220242132,35.59564351553559]}"
145,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.98746353946069,36.824269329625864]}"
146,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.94218844914107,36.52836427503689]}"
147,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.27545884526756,35.78213376851881]}"
148,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.11358700535108,36.85903413112129]}"
149,0,3,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.14080595845991,36.921826369481245]}"
150,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.0219588463709,36.87277835496832]}"
151,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.19766931594467,36.960633589755204]}"
152,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.69021101194554,36.58576662169213]}"
153,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.28273519906892,35.80261535699673]}"
154,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.57226678942251,35.68592420158961]}"
155,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.04217094026357,36.58603611627737]}"
156,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.32567924393169,36.855530701513224]}"
157,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.09112454896623,35.08117835232034]}"
158,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01414350339905,36.65583521385346]}"
159,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.95997509176664,36.77333485301629]}"
160,0,3,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.97039097478057,35.054498388381994]}"
161,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.17224241912223,35.489193154367435]}"
162,0,2,78,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.9634785213747,36.4186799788459]}"
163,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.22209891739087,35.890201097198386]}"
164,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.3660090259068,35.75734026667711]}"
165,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1862561375545,35.9166115665515]}"
166,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.88721155375296,36.534832145082554]}"
167,0,3,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.28795000199867,36.828850737574875]}"
168,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.97506678853985,36.86253756072936]}"
169,0,2,72,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.26396498391269,34.858575824915526]}"
170,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.20215631808341,35.91742005030721]}"
171,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12059386456721,36.82615579172251]}"
172,0,2,77,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.15364729274096,35.91176066401726]}"
173,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.98854151780164,36.86684947409313]}"
174,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.37732779848672,35.68700217993055]}"
175,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.82486389875322,35.24583954389945]}"
176,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.5260888095369,36.665267524336706]}"
177,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.76593899039682,36.38095073691288]}"
178,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.090855054381,35.896129978073574]}"
179,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.9521597487948,36.51974044830935]}"
180,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.5185429611503,36.4149070546526]}"
181,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.09705342984142,35.94571698175697]}"
182,0,2,78,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.98719404487545,36.15834820950806]}"
183,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.4080501812036,36.6396655387393]}"
184,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.1467348393351,36.21197763197]}"
185,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.59534891794252,36.67469983481996]}"
186,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.14960487396242,35.51236968869772]}"
187,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12248032666386,36.85418322858705]}"
188,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.23099223870365,35.86406012243051]}"
189,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.89314043462815,36.59573792134586]}"
190,0,3,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.14394548767247,35.708022757578945]}"
191,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.27609224024829,36.867927452434074]}"
192,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.3404070403094,35.69077510412385]}"
193,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.23180072245935,35.82067149420754]}"
194,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.30618122798445,35.73039080815352]}"
195,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.43149621011912,36.65799117053534]}"
196,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.08286462263419,36.76578900462968]}"
197,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.10325180530185,35.474640446764695]}"
198,0,2,73,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.39224440648495,35.640110122099514]}"
199,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.85855072190769,35.21862059079063]}"
200,0,3,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.32729621144311,34.889298207632415]}"
201,0,2,81,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.88936751043485,36.54749839058864]}"
202,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.14852689562147,35.466016620037145]}"
203,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01010108462052,36.75123629702695]}"
204,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.9685989184942,36.67523882399043]}"
205,0,3,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.88442220209033,35.06662564471761]}"
206,0,3,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.13505216635969,35.71044820884607]}"
207,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.93679855743636,36.81106409494931]}"
208,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.14889079601697,36.607865177681475]}"
209,0,1,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.17260631951773,37.01587997972856]}"
210,0,2,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.55448014679695,35.68969712578291]}"
211,0,3,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.26710451312525,36.22167943703849]}"
212,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.12561985587644,35.76731156633083]}"
213,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.29944386335356,35.9451779925865]}"
214,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.18544765379879,35.71152618718701]}"
215,0,2,77,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.1844640812681,36.29983286675689]}"
216,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.75165577737931,36.477429798427316]}"
217,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.29917436876832,35.838188642247864]}"
218,0,2,78,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.73611949724591,36.86873593618978]}"
219,0,2,75,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.68778556067842,36.51165561075227]}"
220,0,2,74,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.34292689738679,37.134727091817574]}"
221,0,4,76,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.10675523490991,35.596990988461776]}"
222,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.04998628323541,36.53779658552015]}"
223,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.85693375439628,34.99224513919251]}"
224,0,2,82,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.7710593875163,36.59870236178345]}"
225,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.89044548877578,36.50249279485425]}"
226,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.11753501831936,35.83118178303173]}"
227,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.07882220385565,36.840977993910485]}"
228,0,2,79,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1622711194685,35.78402023061546]}"
229,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.8109445861312,36.51731499704223]}"
230,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.75668176868854,35.2048763669436]}"
231,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.33879007279799,35.879690808374185]}"
232,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.26414007268767,35.794530519439654]}"
233,0,2,82,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.86080108439984,36.57606481662364]}"
234,0,2,77,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.1558976552331,36.31708052021198]}"
235,0,4,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.45126372065161,37.02827673064941]}"
236,0,2,77,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01441299798428,36.580646224572654]}"
237,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.23566805246293,36.71647149553152]}"
238,0,2,80,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.13478267177445,36.01901950894113]}"
239,0,2,78,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12032436998197,36.71054261465633]}"
